channel,frequency_hz,name
1,462562500,GMRS 1
2,462587500,GMRS 2
3,462612500,GMRS 3
4,462637500,GMRS 4
5,462662500,GMRS 5
6,462687500,GMRS 6
7,462712500,GMRS 7
8,467562500,FRS 8
